K,scheme,avgSE,likely95SE,avgEE,avgTauP,avgRF,avgEdges
25,Proposed,3.687566429214248,1.5563380861519711,0.8063188292785091,23.725,2.5628249999999997,298.4
30,Proposed,3.4816044869966807,1.4302888939789293,0.8181644575974741,28.255,2.9472500000000004,432.745
35,Proposed,3.264970461615412,1.2152156137471837,0.8188309157218491,32.77,3.3182000000000005,591.895
40,Proposed,3.05394960700886,1.0694731007667089,0.8161950087591575,37.14,3.6451499999999997,775.97
45,Proposed,2.8823195029378588,0.9572378009698239,0.8157784005926041,41.385,3.94085,984.72
50,Proposed,2.706272357776623,0.8738613393417297,0.8073607166041529,45.76,4.232724999999999,1218.65
