setup,scheme,sum_se,mean_se,tau_p_actual,n_active_ap,n_active_rf,ee_bps_per_hz_per_watt
2,MJH weighted-power,268.1940458647319,5.363880917294638,8,169,667,2.0060640468595548
2,MJH beam-resource matching,272.66256980904734,5.453251396180947,5,169,667,2.0394881491669694
2,TopAP (bisect),253.29558210060628,5.065911642012126,15,199,1592,1.3629644344232437
2,Hybrid#3 (TopAP N=8 adaptive),268.22368760955123,5.364473752191024,8,176,1408,1.6074132297815698
2,Hybrid#4 (TopAP+greedy),253.23755312566297,5.06475106251326,15,190,1520,1.419360409858924
3,Random,277.5680157396006,5.551360314792012,15,200,1600,1.4869715128907177
3,Gao matching,279.46985395540537,5.589397079108108,15,200,1600,1.4971599319039577
3,GC (Liu),279.68695819114305,5.593739163822861,15,200,1600,1.4983229903096953
3,Structured (Chen),279.67111590414817,5.593422318082963,15,200,1600,1.4982381209150797
3,Mussbah,298.75716168451027,5.975143233690205,6,167,656,2.259175713790487
3,MJH weighted-count default,298.75716168451027,5.975143233690205,6,167,656,2.259175713790487
3,MJH weighted-count strict,304.0402234830243,6.080804469660486,4,167,656,2.299125768351057
3,MJH weighted-power,298.75716168451027,5.975143233690205,6,167,656,2.259175713790487
3,MJH beam-resource matching,304.58337361755906,6.0916674723511814,4,167,656,2.30323302250344
3,TopAP (bisect),279.7811449724232,5.595622899448464,14,197,1576,1.5189674431837663
3,Hybrid#3 (TopAP N=8 adaptive),294.23064537158973,5.884612907431794,8,175,1400,1.7720289809079433
3,Hybrid#4 (TopAP+greedy),279.679344853541,5.5935868970708205,15,187,1496,1.5896140473843094
4,Random,253.8106532336111,5.076213064672222,15,200,1600,1.3596999280372026
4,Gao matching,257.3806106798253,5.1476122135965054,15,200,1600,1.378824700070493
4,GC (Liu),257.504086483609,5.15008172967218,15,200,1600,1.3794861775907628
4,Structured (Chen),257.51373541066346,5.150274708213269,15,200,1600,1.3795378682714117
4,Mussbah,271.0028505563587,5.420057011127174,7,171,673,2.008296304993704
4,MJH weighted-count default,271.0028505563587,5.420057011127174,7,171,673,2.008296304993704
4,MJH weighted-count strict,278.80087944406586,5.576017588881317,3,171,673,2.066084452126716
4,MJH weighted-power,271.0028505563587,5.420057011127174,7,171,673,2.008296304993704
