K,setup,scheme,sum_se,mean_se,tau_p_actual,ee_bps_per_hz_per_watt
30,37,MJH weighted-count strict,219.24126403731685,7.308042134577229,2,2.1557646414682092
30,37,MJH beam-resource matching,222.5305070828713,7.417683569429044,3,2.188107247619187
30,38,Random,185.34538140334988,6.178179380111662,15,1.041266187659269
30,38,Gao matching,186.03196931581192,6.201065643860398,15,1.045123423122539
30,38,Mussbah,201.12131166856287,6.704043722285429,6,2.0704273385686935
30,38,Hybrid#3 (TopAP N=8 adaptive),197.29124118406827,6.576374706135609,5,1.5255460366059794
30,38,MJH weighted-count strict,202.6741460361569,6.755804867871897,3,2.086412868397745
30,38,MJH beam-resource matching,197.77061368581033,6.592353789527011,5,2.0359338448199544
30,39,Random,184.90497445931095,6.163499148643698,15,1.0387919913444437
30,39,Gao matching,184.1391840388264,6.137972801294213,15,1.0344897979709349
30,39,Mussbah,198.35279585887412,6.6117598619624705,5,1.992894563035006
30,39,Hybrid#3 (TopAP N=8 adaptive),197.4436089280245,6.58145363093415,6,1.4980546959637673
30,39,MJH weighted-count strict,199.64091119730907,6.654697039910302,3,2.0058365437286154
30,39,MJH beam-resource matching,199.8293613927537,6.66097871309179,4,2.0077299446674743
30,40,Random,199.0579321531572,6.63526440510524,15,1.1183029896244787
30,40,Gao matching,202.44388241223086,6.748129413741029,15,1.1373251820911847
30,40,Mussbah,217.34830907005733,7.2449436356685775,5,2.0828779019650923
30,40,Hybrid#3 (TopAP N=8 adaptive),217.20534151203373,7.240178050401124,5,1.5788140397022261
30,40,MJH weighted-count strict,218.78278286884762,7.292759428961587,2,2.0966246561461204
30,40,MJH beam-resource matching,216.0170271600363,7.2005675720012094,3,2.070120049449318
30,41,Random,200.4489151974564,6.68163050658188,13,1.1261175011093056
30,41,Gao matching,199.01331565480464,6.633777188493488,15,1.118052335139352
30,41,Mussbah,213.0489385935303,7.10163128645101,5,2.2667192104854808
30,41,Hybrid#3 (TopAP N=8 adaptive),212.28113898767145,7.076037966255715,6,1.6734815844514896
30,41,MJH weighted-count strict,216.62907124426906,7.220969041475636,2,2.3048097802348027
30,41,MJH beam-resource matching,215.63242866171638,7.187747622057213,4,2.2942060715152297
30,42,Random,187.5668131677024,6.25222710559008,15,1.0537461413915867
30,42,Gao matching,188.28203430340568,6.276067810113522,15,1.0577642376595826
30,42,Mussbah,197.32893950514557,6.577631316838185,7,2.093786826941966
