tau_p_design,setup,scheme,sum_se,mean_se,p5_se,tau_p_actual,ee_bps_per_hz_per_watt
1,0,Random,279.5698010714193,5.591396021428386,0.9756479904219051,1,1.4976953628826037
1,0,Gao matching,279.5698010714193,5.591396021428386,0.9756479904219051,1,1.4976953628826037
1,0,GC (Liu),279.5698010714193,5.591396021428386,0.9756479904219051,1,1.4976953628826037
1,0,Structured (Chen),279.5698010714193,5.591396021428386,0.9756479904219051,1,1.4976953628826037
1,0,Mussbah,272.1454792588307,5.442909585176613,1.075438272234383,6,2.0579404821387413
1,0,MJH weighted-count default,272.1454792588307,5.442909585176613,1.075438272234383,6,2.0579404821387413
1,0,MJH weighted-count strict,274.6828392329884,5.493656784659768,0.9953189528050546,3,2.0771277779292086
1,0,MJH weighted-power,272.1454792588307,5.442909585176613,1.075438272234383,6,2.0579404821387413
1,0,MJH beam-resource matching,276.1119844197074,5.522239688394149,1.0868123086619863,4,2.08793484972997
1,0,TopAP (bisect),279.5698010714193,5.591396021428386,0.9756479904219051,1,3.219304877513705
1,0,Hybrid#3 (TopAP N=8 adaptive),270.5050956848685,5.410101913697369,1.0939489222679872,7,1.5973924256770937
1,0,Hybrid#4 (TopAP+greedy),279.5698010714193,5.591396021428386,0.9756479904219051,1,1.6116629577522252
1,1,Random,276.12232825238743,5.522446565047749,1.8251565855280978,1,1.479226758494933
1,1,Gao matching,276.12232825238743,5.522446565047749,1.8251565855280978,1,1.479226758494933
1,1,GC (Liu),276.12232825238743,5.522446565047749,1.8251565855280978,1,1.479226758494933
1,1,Structured (Chen),276.12232825238743,5.522446565047749,1.8251565855280978,1,1.479226758494933
1,1,Mussbah,265.55485858063327,5.311097171612666,1.758636907949222,7,2.117380932204385
1,1,MJH weighted-count default,265.55485858063327,5.311097171612666,1.758636907949222,7,2.117380932204385
1,1,MJH weighted-count strict,273.649469513439,5.47298939026878,1.7200941179359597,3,2.181922680505826
1,1,MJH weighted-power,265.55485858063327,5.311097171612666,1.758636907949222,7,2.117380932204385
1,1,MJH beam-resource matching,272.16988033571585,5.443397606714317,1.9106540543343677,4,2.1701252917133496
1,1,TopAP (bisect),276.12232825238743,5.522446565047749,1.8251565855280978,1,3.14968435268883
1,1,Hybrid#3 (TopAP N=8 adaptive),262.81601871017426,5.256320374203486,1.6798796366320183,8,1.559584721848527
1,1,Hybrid#4 (TopAP+greedy),276.12232825238743,5.522446565047749,1.8251565855280978,1,1.5620723830985526
1,2,Random,253.72101060115577,5.074420212023115,0.553240524185819,1,1.359219699649049
1,2,Gao matching,253.72101060115577,5.074420212023115,0.553240524185819,1,1.359219699649049
1,2,GC (Liu),253.72101060115577,5.074420212023115,0.553240524185819,1,1.359219699649049
1,2,Structured (Chen),253.72101060115577,5.074420212023115,0.553240524185819,1,1.359219699649049
1,2,Mussbah,243.72606175747757,4.874521235149551,0.6374508016527936,10,1.9295609676393914
1,2,MJH weighted-count default,243.72606175747757,4.874521235149551,0.6374508016527936,10,1.9295609676393914
1,2,MJH weighted-count strict,248.92755703121261,4.978551140624252,0.618533198284286,5,1.9707408159542874
1,2,MJH weighted-power,243.72606175747757,4.874521235149551,0.6374508016527936,10,1.9295609676393914
1,2,MJH beam-resource matching,249.21190426789028,4.984238085357806,0.6412267836695172,5,1.9729919717198752
1,2,TopAP (bisect),253.72101060115577,5.074420212023115,0.553240524185819,1,3.0982518848212774
1,2,Hybrid#3 (TopAP N=8 adaptive),237.01527999140964,4.740305599828193,0.6124745419195283,11,1.5179502374429823
1,2,Hybrid#4 (TopAP+greedy),253.72101060115577,5.074420212023115,0.553240524185819,1,1.5205014618527115
1,3,Random,275.9379283253949,5.518758566507898,0.8534206776271277,1,1.4782389017431874
1,3,Gao matching,275.9379283253949,5.518758566507898,0.8534206776271277,1,1.4782389017431874
1,3,GC (Liu),275.9379283253949,5.518758566507898,0.8534206776271277,1,1.4782389017431874
1,3,Structured (Chen),275.9379283253949,5.518758566507898,0.8534206776271277,1,1.4782389017431874
1,3,Mussbah,262.848951243147,5.2569790248629396,0.9496745418776534,8,2.1710195166208472
1,3,MJH weighted-count default,262.848951243147,5.2569790248629396,0.9496745418776534,8,2.1710195166208472
1,3,MJH weighted-count strict,273.06339817095215,5.4612679634190435,0.9563876599568946,3,2.255386463975487
1,3,MJH weighted-power,262.848951243147,5.2569790248629396,0.9496745418776534,8,2.1710195166208472
1,3,MJH beam-resource matching,273.0587010316776,5.4611740206335515,1.018798333432311,4,2.255347667621196
1,3,TopAP (bisect),275.9379283253949,5.518758566507898,0.8534206776271277,1,3.369548325943563
1,3,Hybrid#3 (TopAP N=8 adaptive),261.03689790236245,5.220737958047249,0.9664629254514892,9,1.6717952579539679
1,3,Hybrid#4 (TopAP+greedy),275.9379283253949,5.518758566507898,0.8534206776271277,1,1.6870058793074891
1,4,Random,274.81690988145846,5.496338197629169,0.4581091654917643,1,1.4722334457935278
1,4,Gao matching,274.81690988145846,5.496338197629169,0.4581091654917643,1,1.4722334457935278
1,4,GC (Liu),274.81690988145846,5.496338197629169,0.4581091654917643,1,1.4722334457935278
1,4,Structured (Chen),274.81690988145846,5.496338197629169,0.4581091654917643,1,1.4722334457935278
1,4,Mussbah,267.3990898805183,5.347981797610366,0.5254112513387084,6,2.296716873687457
1,4,MJH weighted-count default,267.3990898805183,5.347981797610366,0.5254112513387084,6,2.296716873687457
1,4,MJH weighted-count strict,272.0734771941133,5.441469543882266,0.461629659271528,3,2.336865642413937
1,4,MJH weighted-power,267.3990898805183,5.347981797610366,0.5254112513387084,6,2.296716873687457
1,4,MJH beam-resource matching,270.8992020201551,5.417984040403102,0.47478975692273434,5,2.3267796783682586
1,4,TopAP (bisect),274.81690988145846,5.496338197629169,0.4581091654917643,1,3.3558592841940587
1,4,Hybrid#3 (TopAP N=8 adaptive),264.60401924329256,5.2920803848658515,0.4676630319631132,9,1.609595088416643
1,4,Hybrid#4 (TopAP+greedy),274.81690988145846,5.496338197629169,0.4581091654917643,1,1.607194755386472
1,5,Random,323.7518237772918,6.475036475545836,1.9083561715330823,1,1.7343847702354922
1,5,Gao matching,323.7518237772918,6.475036475545836,1.9083561715330823,1,1.7343847702354922
