K,scheme,p5_se,mean_se,median_se,mean_tau_p,mean_ee,mean_sum_se,random_mean_se,random_p5_se,random_mean_ee,mean_vs_random_pct,p5_vs_random_pct,ee_vs_random_pct
25,Random,0.7679995705002878,5.92347485930063,5.757751654461039,9.96,1.5866450515983834,148.08687148251576,5.92347485930063,0.7679995705002878,1.5866450515983834,0.0,0.0,0.0
25,Gao matching,0.7824608422764799,5.922029723798674,5.728521577626973,10.0,1.5862579617317878,148.05074309496683,5.92347485930063,0.7679995705002878,1.5866450515983834,-0.024396752519133813,1.882979148903931,-0.024396752519139808
25,Mussbah,0.8027870571726166,6.311635117096095,6.107419583447557,4.18,3.089797305033886,157.7908779274024,5.92347485930063,0.7679995705002878,1.5866450515983834,6.552914750469527,4.529623193625959,94.73777716832316
25,Hybrid#3 (TopAP N=8 adaptive),0.7857161127439799,6.105585163862634,5.8578896558604185,7.18,1.8548623063807756,152.63962909656587,5.92347485930063,0.7679995705002878,1.5866450515983834,3.074383008076194,2.306842728069662,16.904679122289554
25,MJH weighted-count strict,0.7761049594958753,6.435885816342046,6.281778829398526,2.04,3.1508336755265236,160.89714540855115,5.92347485930063,0.7679995705002878,1.5866450515983834,8.650512903534379,1.0553897823546388,98.5846596472462
25,MJH beam-resource matching,0.7554196309731973,6.375060029403132,6.2201380108936135,3.26,3.1214713485724657,159.3765007350783,5.92347485930063,0.7679995705002878,1.5866450515983834,7.623653021730205,-1.638013875306686,96.73406761190229
30,Random,0.6884297786021362,5.4909024338906685,5.307297771473998,9.96,1.724890816929006,164.72707301672006,5.4909024338906685,0.6884297786021362,1.724890816929006,0.0,0.0,0.0
30,Gao matching,0.6873155752624325,5.494806919672457,5.281891896674384,10.0,1.7261173569651702,164.8442075901737,5.4909024338906685,0.6884297786021362,1.724890816929006,0.07110827097726982,-0.1618470575119646,0.07110827097728491
30,Mussbah,0.7536691382518069,5.836282272904485,5.641475288221201,4.74,2.98784136474024,175.08846818713457,5.4909024338906685,0.6884297786021362,1.724890816929006,6.290037806574036,9.47654527410769,73.21915888333095
30,Hybrid#3 (TopAP N=8 adaptive),0.7103276541784052,5.58812299656282,5.380963556354304,8.42,1.892342588453166,167.6436898968846,5.4909024338906685,0.6884297786021362,1.724890816929006,1.7705753078417823,3.1808437486148335,9.707963534891494
30,MJH weighted-count strict,0.7497599911371053,5.962986990640896,5.779805106146325,2.14,3.0520733194900664,178.8896097192269,5.4909024338906685,0.6884297786021362,1.724890816929006,8.597576854333663,8.908710000822568,76.94298616094292
30,MJH beam-resource matching,0.7489810280899822,5.89444027907521,5.679460439959323,3.64,3.0176363313717154,176.83320837225634,5.4909024338906685,0.6884297786021362,1.724890816929006,7.349208077234193,8.795559310463881,74.94651265778737
35,Random,0.4987214306543704,5.294487876505919,5.084809148680838,10.0,1.8973420717853977,185.30707567770713,5.294487876505919,0.4987214306543704,1.8973420717853977,0.0,0.0,0.0
35,Gao matching,0.5104979547121625,5.292844430778206,5.08514930959544,10.0,1.896753123657719,185.2495550772372,5.294487876505919,0.4987214306543704,1.8973420717853977,-0.0310406930008424,2.361343093345755,-0.031040693000836884
35,Mussbah,0.5386900744217358,5.574801656014521,5.401296503179345,5.04,3.045040853573154,195.11805796050822,5.294487876505919,0.4987214306543704,1.8973420717853977,5.294445582782114,8.014222231220877,60.48981882891431
35,Hybrid#3 (TopAP N=8 adaptive),0.5124840529827625,5.323493338930956,5.123663104758719,9.24,2.0058322549080705,186.32226686258346,5.294487876505919,0.4987214306543704,1.8973420717853977,0.5478426450601226,2.759581097273914,5.7180086151035265
35,MJH weighted-count strict,0.5361999189768157,5.734990345609815,5.525053498750632,2.24,3.132382695569746,200.72466209634354,5.294487876505919,0.4987214306543704,1.8973420717853977,8.320020356616718,7.514914342716323,65.09319759204918
35,MJH beam-resource matching,0.5342741057484681,5.6501570764547075,5.458904549213647,3.7,3.0863404567454973,197.75549767591474,5.294487876505919,0.4987214306543704,1.8973420717853977,6.717726213465459,7.128764257723833,62.666527171942846
40,Random,0.5453143247949811,4.889781652361549,4.620436131894873,9.96,1.959177957540521,195.59126609446196,4.889781652361549,0.5453143247949811,1.959177957540521,0.0,0.0,0.0
40,Gao matching,0.5456997191944147,4.888330392406752,4.633490684790131,10.0,1.9585964844367627,195.53321569627008,4.889781652361549,0.5453143247949811,1.959177957540521,-0.029679442927595227,0.07067380809747312,-0.029679442927598772
40,Mussbah,0.5559447814648736,5.142758989914098,4.907237435665026,5.24,2.953928995010289,205.7103595965639,4.889781652361549,0.5453143247949811,1.959177957540521,5.173591696683882,1.9494181954396963,50.773899003975195
40,Hybrid#3 (TopAP N=8 adaptive),0.579007507356433,4.872500808077381,4.586025705675208,10.22,2.0128727449576593,194.90003232309522,4.889781652361549,0.5453143247949811,1.959177957540521,-0.3534072789492028,6.178671828237664,2.740679437030045
40,MJH weighted-count strict,0.5479586446832324,5.291401403036059,4.963041802234704,2.38,3.039210851041379,211.6560561214424,4.889781652361549,0.5453143247949811,1.959177957540521,8.213449581752707,0.4849166376191351,55.126839771956746
40,MJH beam-resource matching,0.5773846640438398,5.209843568321003,4.898493116711251,3.98,2.9925217538691777,208.3937427328401,4.889781652361549,0.5453143247949811,1.959177957540521,6.545525725159489,5.881074050441647,52.74374348442946
45,Random,0.4168699844994334,4.589304785605842,4.241466755953859,10.0,2.0246932877672834,206.5187153522629,4.589304785605842,0.4168699844994334,2.0246932877672834,0.0,0.0,0.0
45,Gao matching,0.4232747633131426,4.590536608065573,4.240856409710332,10.0,2.025236738852459,206.57414736295078,4.589304785605842,0.4168699844994334,2.0246932877672834,0.026841156063435786,1.5363972106074997,0.026841156063429333
45,Mussbah,0.45007721672863354,4.8219066685091025,4.456664686465524,5.62,2.908513795071932,216.98580008290963,4.589304785605842,0.4168699844994334,2.0246932877672834,5.068346814376034,7.965848697184209,43.652068816767574
45,Hybrid#3 (TopAP N=8 adaptive),0.3982197360487628,4.539896627753208,4.2029988112934245,11.1,2.0519273870139703,204.29534824889436,4.589304785605842,0.4168699844994334,2.0246932877672834,-1.0765935182078192,-4.473876542842326,1.3450975222384949
45,MJH weighted-count strict,0.4523716336604164,4.958349995313621,4.5898661377176655,2.54,2.990513488311454,223.12574978911292,4.589304785605842,0.4168699844994334,2.0246932877672834,8.041418623258004,8.516240190238793,47.70204980573735
45,MJH beam-resource matching,0.4658082790648919,4.878183113141563,4.5398537045208895,4.36,2.9421218645637452,219.51824009137033,4.589304785605842,0.4168699844994334,2.0246932877672834,6.294598877846929,11.739462274843877,45.31197798399133
