K,scheme,avgSE,likely95SE,avgEE,avgTauP,avgRF,avgEdges
25,Random,3.9578977910167907,1.6470472309264814,0.8431273626663685,15.0,4.7506,46.25
25,GaoMatching,3.9551493183966073,1.6341719924811118,0.8425719187550701,15.0,4.7506,46.25
25,Greedy,3.9552781210351853,1.6337427549780317,0.842599967801138,15.0,4.7506,46.25
25,WGF,3.9551298797383083,1.6342829314584877,0.8425669010551072,15.0,4.7506,46.25
25,GC,3.9553708843551174,1.6434527596025859,0.842623104271602,15.0,4.7506,46.25
25,TopAPBisect,3.9551166052987172,1.6310441590921643,0.8425647807812342,15.0,4.7506,270.68
25,H2GaoGreedy,3.9551068649535575,1.631312588708269,0.8425627429490694,15.0,4.7506,46.25
25,H3TopAPAdaptive,4.249978769394495,1.757488772387071,0.9048057889584843,5.01,4.7506,60.745
25,H4TopAPGreedy,3.955102818060236,1.6313146262112916,0.8425620397560852,15.0,4.7506,86.86
25,Proposed,4.0876472279351646,1.711185103315504,0.8929262600382232,10.035,2.5628249999999997,183.825
25,MatchingBeamFixed,3.9428621573519704,1.6614556143199821,0.8613503056957441,15.0,2.5628249999999997,183.825
25,MatchingBeamAdaptive,4.275153845537998,1.78648623433324,0.9330841971394286,3.69,2.5628249999999997,183.825
30,Random,3.879746668784546,1.5828267787923684,0.8753843143517055,15.0,5.3014,67.17
30,GaoMatching,3.8778837941815216,1.5769643206420145,0.8749765130330809,15.0,5.3014,67.17
30,Greedy,3.8776548639221655,1.572213260049527,0.8749263904802944,15.0,5.3014,67.17
30,WGF,3.877606494794699,1.5752979487911773,0.8749165985638868,15.0,5.3014,67.17
30,GC,3.8778565703577517,1.5692656917410965,0.8749724118322283,15.0,5.3014,67.17
30,TopAPBisect,3.8775805794767044,1.5752722532011627,0.8749089189650868,15.0,5.3014,360.96
30,H2GaoGreedy,3.8775796709285606,1.5738955656321774,0.8749095559598069,15.0,5.3014,67.17
30,H3TopAPAdaptive,4.149880097578501,1.6871708655525435,0.9357397113985135,5.6,5.3014,88.51
30,H4TopAPGreedy,3.8775774007254493,1.5747767198090967,0.8749089699105458,15.0,5.3014,125.625
30,Proposed,3.959466758026407,1.6171389819413944,0.9291384851541525,11.57,2.9472500000000004,268.245
30,MatchingBeamFixed,3.8616051180739994,1.5706510163701903,0.9061495272352986,15.0,2.9472500000000004,268.245
30,MatchingBeamAdaptive,4.175700723048652,1.7020387175506249,0.9788745613335407,4.09,2.9472500000000004,268.245
35,Random,3.781464462833446,1.387694497037018,0.9063858331954762,15.0,5.740799999999999,93.15
35,GaoMatching,3.779361352496811,1.3881799391417369,0.905884200719779,15.0,5.740799999999999,93.15
35,Greedy,3.7789619493373445,1.3880329967964422,0.9057897959206274,15.0,5.740799999999999,93.15
35,WGF,3.778943615728639,1.3880306751390246,0.9057857663862441,15.0,5.740799999999999,93.15
35,GC,3.779150260745644,1.3854513195913383,0.9058363104180863,15.0,5.740799999999999,93.15
35,TopAPBisect,3.7790333537900858,1.3883382850570316,0.9058067760180506,15.0,5.740799999999999,442.44
35,H2GaoGreedy,3.778944781155658,1.3883628155461467,0.9057854096762115,15.0,5.740799999999999,93.15
