K,scheme,avgSE,likely95SE,avgEE,avgTauP,avgRF,avgEdges
25,Random,3.2830479433248807,0.8529616551696154,1.002303451429821,10.0,6.0652,66.185
25,Greedy,3.278979810041739,0.8468223763982519,1.001073041852757,10.0,6.0652,66.185
25,WGF,3.2787174728347868,0.8497475169764284,1.0009978766020344,10.0,6.0652,66.185
25,GC,3.2789992803301384,0.8494583606711102,1.0010783096858415,10.0,6.0652,66.185
25,TopAPBisect,3.2793283903155634,0.8488866114946377,1.001175590999162,10.0,6.0652,195.52
25,H2GaoGreedy,3.2787368923547486,0.8470660543692065,1.001001836854034,10.0,6.0652,66.185
25,H3TopAPAdaptive,3.373944622056334,0.8872215088723144,1.0297869549314287,7.43,6.0652,130.485
25,H4TopAPGreedy,3.2789783932639534,0.8513350294061661,1.0010713787500416,10.0,6.0652,175.465
25,Proposed,3.3811711167224887,0.8787491344480722,1.0895573122629059,6.64,3.5223,102.155
25,MatchingBeamFixed,3.257401958402809,0.8494947798220363,1.0497664573007632,10.0,3.5223,102.155
25,MatchingBeamAdaptive,3.4687896148064175,0.9017023041668975,1.1173375822232245,4.225,3.5223,102.155
30,Random,3.1709887247864272,0.7737116816215998,1.040316906044568,10.0,6.595600000000001,94.785
30,Greedy,3.164789992289109,0.7609035087067837,1.0382994432318993,10.0,6.595600000000001,94.785
30,WGF,3.1647582331187425,0.7614317489757889,1.038287643376819,10.0,6.595600000000001,94.785
30,GC,3.1649329525377508,0.7565920249639854,1.0383444648451714,10.0,6.595600000000001,94.785
30,TopAPBisect,3.1657647442139423,0.7615621971220841,1.0386099895633865,10.0,6.595600000000001,238.555
30,H2GaoGreedy,3.1647912501579096,0.76157391282848,1.0382977172262857,10.0,6.595600000000001,94.785
30,H3TopAPAdaptive,3.2243445235755583,0.7736814052063958,1.057664470398366,8.335,6.595600000000001,188.745
30,H4TopAPGreedy,3.164967605493228,0.7613974997975081,1.0383530579283458,10.0,6.595600000000001,254.725
30,Proposed,3.23292299706444,0.7806922637975147,1.1283304472266638,7.415,4.02125,147.94
30,MatchingBeamFixed,3.141880836135093,0.7582746591751011,1.0966707000680977,10.0,4.02125,147.94
30,MatchingBeamAdaptive,3.334715747378206,0.8023779650135721,1.1633325785567614,4.59,4.02125,147.94
35,Random,3.0513683484746608,0.5924548764393047,1.082253266173479,10.0,6.9144000000000005,132.105
35,Greedy,3.047008057514139,0.579369071286251,1.0807158447004226,10.0,6.9144000000000005,132.105
35,WGF,3.046886849261938,0.5857126841043477,1.0806719320491833,10.0,6.9144000000000005,132.105
35,GC,3.0470701802366857,0.5827045206181306,1.0807361178229566,10.0,6.9144000000000005,132.105
35,TopAPBisect,3.0475508984803272,0.5842042098685505,1.0809081103500187,10.0,6.9144000000000005,278.62
35,H2GaoGreedy,3.046720751978845,0.5798835283946332,1.0806115087646584,10.0,6.9144000000000005,132.105
35,H3TopAPAdaptive,3.0685931659562806,0.5944392437138055,1.0882515994421553,9.37,6.9144000000000005,259.215
35,H4TopAPGreedy,3.046708769939976,0.5841994577195937,1.080610064753229,10.0,6.9144000000000005,347.935
35,Proposed,3.0875155120654383,0.5965948546985054,1.1639993920496179,8.24,4.4129000000000005,201.02
35,MatchingBeamFixed,3.0279262575540824,0.5879837272125349,1.1416114532014967,10.0,4.4129000000000005,201.02
35,MatchingBeamAdaptive,3.196412402483494,0.624504539664046,1.2045287772181632,5.095,4.4129000000000005,201.02
40,Random,2.9370842360203224,0.5065723229222657,1.1152890461384168,10.0,7.1752,172.94
40,Greedy,2.932581165677683,0.5030102922193788,1.1135811844925378,10.0,7.1752,172.94
40,WGF,2.931800105614651,0.5010552445864012,1.1132818412932142,10.0,7.1752,172.94
40,GC,2.9324283623536154,0.4963507491485474,1.1135198292356583,10.0,7.1752,172.94
40,TopAPBisect,2.933614599574329,0.5060326784843504,1.1139699561061145,10.0,7.1752,316.655
40,H2GaoGreedy,2.9319221264025765,0.5014538524016589,1.1133265546145992,10.0,7.1752,172.94
40,H3TopAPAdaptive,2.924737071863071,0.5011977377698331,1.110580568652944,10.245,7.1752,338.25
40,H4TopAPGreedy,2.932229546176489,0.5064976597228583,1.113441225284224,10.0,7.1752,456.51
40,Proposed,2.9415759447003493,0.4923580209748617,1.1843273386597184,9.025,4.797999999999999,264.41
40,MatchingBeamFixed,2.9085712896122407,0.4902090823344879,1.1710133251299402,10.0,4.797999999999999,264.41
40,MatchingBeamAdaptive,3.059152511429886,0.516847403599714,1.230959668143532,5.45,4.797999999999999,264.41
45,Random,2.889273416381571,0.5111905573672371,1.1673595110151889,10.0,7.374,213.775
45,Greedy,2.885968475476521,0.512683531977267,1.1660264210208422,10.0,7.374,213.775
45,WGF,2.8856803370329636,0.5116857502260604,1.1659057147039673,10.0,7.374,213.775
45,GC,2.8858453345064983,0.5105020497585275,1.165973123305144,10.0,7.374,213.775
45,TopAPBisect,2.886746674242119,0.5109053842516124,1.1663355169664043,10.0,7.374,346.245
45,H2GaoGreedy,2.8853566965013204,0.5109333681148553,1.1657767297094055,10.0,7.374,213.775
45,H3TopAPAdaptive,2.848334540433611,0.5091152596986892,1.1509040402760597,11.18,7.374,428.22
45,H4TopAPGreedy,2.885541920199574,0.5173210122848233,1.1658512561089633,10.0,7.374,577.045
45,Proposed,2.874481803730834,0.5046622207863327,1.2302982949370869,9.665,5.105299999999999,330.24
45,MatchingBeamFixed,2.862897114838463,0.5017914173524999,1.225237937436249,10.0,5.105299999999999,330.24
45,MatchingBeamAdaptive,2.999282640539761,0.529004313209558,1.2829387892685136,5.81,5.105299999999999,330.24
